gm,team,year,round,overall_pick,player,pos_raw,pos_group,college,pfr_id
Howie Roseman,PHI,2010,1,13,Brandon Graham,DE,EDGE,Michigan,GrahBr99
Howie Roseman,PHI,2010,2,37,Nate Allen,DB,FLEX,South Florida,AlleNa99
Howie Roseman,PHI,2010,3,86,Daniel Te'o-Nesheim,DE,EDGE,Washington,Teo-Da99
Howie Roseman,PHI,2010,4,105,Trevard Lindley,DB,FLEX,Kentucky,LindTr99
Howie Roseman,PHI,2010,4,121,Keenan Clayton,LB,LB,Oklahoma,ClayKe99
Howie Roseman,PHI,2010,4,122,Mike Kafka,QB,QB,Northwestern,KafkMi00
Howie Roseman,PHI,2010,4,125,Clay Harbor,TE,TE,Missouri State,HarbCl00
Howie Roseman,PHI,2010,5,134,Ricky Sapp,DE,EDGE,Clemson,SappRi99
Howie Roseman,PHI,2010,5,159,Riley Cooper,WR,WR,Florida,CoopRi00
Howie Roseman,PHI,2010,6,200,Charles Scott,RB,RB,LSU,-9999
Howie Roseman,PHI,2010,7,220,Jamar Chaney,LB,LB,Mississippi St.,ChanJa98
Howie Roseman,PHI,2010,7,243,Jeff Owens,DT,DT,Georgia,OwenJe20
Howie Roseman,PHI,2010,7,244,Kurt Coleman,DB,FLEX,Ohio St.,ColeKu99
Howie Roseman,PHI,2011,1,23,Danny Watkins,G,IOL,Baylor,WatkDa00
Howie Roseman,PHI,2011,2,54,Jaiquawn Jarrett,DB,FLEX,Temple,JarrJa00
Howie Roseman,PHI,2011,3,90,Curtis Marsh,DB,FLEX,Utah St.,MarsCu01
Howie Roseman,PHI,2011,4,116,Casey Matthews,LB,LB,Oregon,MattCa00
Howie Roseman,PHI,2011,4,120,Alex Henery,K,K,Nebraska,HeneAl00
Howie Roseman,PHI,2011,5,149,Dion Lewis,RB,RB,Pittsburgh,LewiDi00
Howie Roseman,PHI,2011,5,161,Julian Vandervelde,G,IOL,Iowa,VandJu00
Howie Roseman,PHI,2011,6,191,Jason Kelce,C,IOL,Cincinnati,KelcJa00
Howie Roseman,PHI,2011,6,193,Brian Rolle,LB,LB,Ohio St.,RollBr00
Howie Roseman,PHI,2011,7,237,Greg Lloyd,LB,LB,Connecticut,LloyGr01
Howie Roseman,PHI,2011,7,240,Stanley Havili,RB,RB,USC,HaviSt00
Howie Roseman,PHI,2012,1,12,Fletcher Cox,DT,DT,Mississippi St.,CoxxFl00
Howie Roseman,PHI,2012,2,46,Mychal Kendricks,LB,LB,California,KendMy00
Howie Roseman,PHI,2012,2,59,Vinny Curry,DE,EDGE,Marshall,CurrVi00
Howie Roseman,PHI,2012,3,88,Nick Foles,QB,QB,Arizona,FoleNi00
Howie Roseman,PHI,2012,4,123,Brandon Boykin,DB,FLEX,Georgia,BoykBr00
Howie Roseman,PHI,2012,5,153,Dennis Kelly,T,OT,Purdue,KellDe00
Howie Roseman,PHI,2012,6,194,Marvin McNutt,WR,WR,Iowa,McNuMa00
Howie Roseman,PHI,2012,6,200,Brandon Washington,G,IOL,Miami (FL),WashBr00
